Round 1: ε=1.02, δ=0.0001
Round 1: accuracy=0.13, loss=2.29
Round 2: ε=1.11, δ=0.0001
Round 2: accuracy=0.18, loss=2.26
Round 3: ε=1.20, δ=0.0001
Round 3: accuracy=0.17, loss=2.20
Round 4: ε=1.29, δ=0.0001
Round 4: accuracy=0.18, loss=2.16
Round 5: ε=1.38, δ=0.0001
Round 5: accuracy=0.21, loss=2.08
Round 6: ε=1.47, δ=0.0001
Round 6: accuracy=0.25, loss=2.01
Round 7: ε=1.56, δ=0.0001
Round 7: accuracy=0.21, loss=2.03
Round 8: ε=1.64, δ=0.0001
Round 8: accuracy=0.25, loss=1.96
Round 9: ε=1.73, δ=0.0001
Round 9: accuracy=0.26, loss=1.93
Round 10: ε=1.82, δ=0.0001
Round 10: accuracy=0.34, loss=1.80
Round 11: ε=1.91, δ=0.0001
Round 11: accuracy=0.32, loss=1.86
Round 12: ε=2.00, δ=0.0001
Round 12: accuracy=0.32, loss=1.85
Round 13: ε=2.09, δ=0.0001
Round 13: accuracy=0.36, loss=1.73
Round 14: ε=2.17, δ=0.0001
Round 14: accuracy=0.37, loss=1.73
Round 15: ε=2.25, δ=0.0001
Round 15: accuracy=0.38, loss=1.70
Round 16: ε=2.33, δ=0.0001
Round 16: accuracy=0.39, loss=1.70
Round 17: ε=2.40, δ=0.0001
Round 17: accuracy=0.40, loss=1.65
Round 18: ε=2.48, δ=0.0001
Round 18: accuracy=0.41, loss=1.65
Round 19: ε=2.55, δ=0.0001
Round 19: accuracy=0.41, loss=1.60
Round 20: ε=2.62, δ=0.0001
Round 20: accuracy=0.43, loss=1.59
Round 21: ε=2.69, δ=0.0001
Round 21: accuracy=0.43, loss=1.56
Round 22: ε=2.76, δ=0.0001
Round 22: accuracy=0.43, loss=1.56
Round 23: ε=2.82, δ=0.0001
Round 23: accuracy=0.44, loss=1.53
Round 24: ε=2.89, δ=0.0001
Round 24: accuracy=0.43, loss=1.56
Round 25: ε=2.95, δ=0.0001
Round 25: accuracy=0.44, loss=1.53
Round 26: ε=3.01, δ=0.0001
Round 26: accuracy=0.44, loss=1.52
Round 27: ε=3.08, δ=0.0001
Round 27: accuracy=0.44, loss=1.51
Round 28: ε=3.14, δ=0.0001
Round 28: accuracy=0.45, loss=1.49
Round 29: ε=3.20, δ=0.0001
Round 29: accuracy=0.46, loss=1.48
Round 30: ε=3.25, δ=0.0001
Round 30: accuracy=0.46, loss=1.48
Round 31: ε=3.31, δ=0.0001
Round 31: accuracy=0.47, loss=1.46
Round 32: ε=3.37, δ=0.0001
Round 32: accuracy=0.46, loss=1.49
Round 33: ε=3.43, δ=0.0001
Round 33: accuracy=0.46, loss=1.46
Round 34: ε=3.48, δ=0.0001
Round 34: accuracy=0.47, loss=1.44
Round 35: ε=3.54, δ=0.0001
Round 35: accuracy=0.48, loss=1.44
Round 36: ε=3.59, δ=0.0001
Round 36: accuracy=0.48, loss=1.42
Round 37: ε=3.64, δ=0.0001
Round 37: accuracy=0.48, loss=1.42
Round 38: ε=3.70, δ=0.0001
Round 38: accuracy=0.48, loss=1.43
Round 39: ε=3.75, δ=0.0001
Round 39: accuracy=0.48, loss=1.41
Round 40: ε=3.80, δ=0.0001
Round 40: accuracy=0.49, loss=1.40
Round 41: ε=3.85, δ=0.0001
Round 41: accuracy=0.48, loss=1.42
Round 42: ε=3.90, δ=0.0001
Round 42: accuracy=0.49, loss=1.40
Round 43: ε=3.95, δ=0.0001
Round 43: accuracy=0.49, loss=1.41
Round 44: ε=4.00, δ=0.0001
隐私预算耗尽! ε=4.00 > 4.0
